PGAM2	P15259
PGAM5	Q96HS1
PGM5	Q15124
PGP	A6NDG6
PHB	P35232
PHB2	Q99623
PHF2	O75151
PHF5A	Q7RTV0
PHKB	Q93100
PHLDB2	Q86SQ0
PHYH	O14832
PIBF1	Q8WXW3
PICK1	Q9NRD5
PIK3AP1	Q6ZUJ8
PIK3C2A	O00443
PIK3C2B	O00750
PIK3C2G	O75747
PIK3R1	P27986
PIN1	Q13526
PIP	P12273
PIP5K1A	Q99755
PIP5K1C	O60331
PIWIL2	Q8TC59
PIWIL4	Q7Z3Z4
PJA2	O43164
PKLR	P30613
PKMYT1	Q99640
PKP1	Q13835
PKP2	Q99959
PKP3	Q9Y446
PLA2R1	Q13018
PLAUR	Q03405
PLEKHG1	Q9ULL1
PLRG1	O43660
PLXNA1	Q9UIW2
PLXNA3	P51805
PNPT1	Q8TCS8
PNRC1	Q12796
POC1B	Q8TC44
POLDIP2	Q9Y2S7
POLR2B	P30876
POM121	Q96HA1
POP1	Q99575
POU4F1	Q01851
PPA2	Q9H2U2
PPIA	P62937
PPIB	P23284
PPIF	P30405
PPIH	O43447
PPM1B	O75688
PPM1D	O15297
PPM1F	P49593
PPM1L	Q5SGD2
PPME1	Q9Y570
PPP1R10	Q96QC0
PPP1R12A	O14974
PPP1R12B	O60237
PPP1R12C	Q9BZL4
PPP1R13B	Q96KQ4
PPP1R14A	Q96A00
PPP1R18	Q6NYC8
PPP1R3C	Q9UQK1
PPP1R8	Q12972
PPP2R1A	P30153
PPP2R1B	P30154
PPP2R2B	Q00005
PPP2R2C	Q9Y2T4
PPP3R2	Q96LZ3
PPP4R1	Q8TF05
PPP5C	P53041
PPRC1	Q5VV67
PQBP1	O60828
PRDX1	Q06830
PRDX6	P30041
PRKAA1	Q13131
PRKACG	P22612
PRKAR2A	P13861
PRKCA	P17252
PRKCI	P41743
PRKDC	P78527
PRKRA	O75569
PRMT1	Q99873
PRMT5	O14744
PRPF18	Q99633
PRPF3	O43395
PRPF31	Q8WWY3
PRPF4	O43172
PRPF4B	Q13523
PRRC2A	P48634
PRRC2B	Q5JSZ5
PRRC2C	Q9Y520
PRRX1	P54821
PSMA4	P25789
PSMA6	P60900
PSMD2	Q13200
PSME3	P61289
PSPC1	Q8WXF1
PTBP1	P26599
PTBP3	O95758
PTCD3	Q96EY7
PTCRA	Q6ISU1
PTGES3	Q15185
PTGIR	P43119
PTK2	Q05397
PTK6	Q13882
PTK7	Q13308
PTPA	Q15257
PTPDC1	A2A3K4
PTPRD	P23468
