R3HDM1	Q15032
R3HDM2	Q9Y2K5
RAB1A	P62820
RACGAP1	Q9H0H5
RACK1	P63244
RAD21	O60216
RALY	Q9UKM9
RAN	P62826
RANBP1	P43487
RAVER1	Q8IY67
RBBP4	Q09028
RBFOX1	Q9NWB1
RBFOX2	O43251
RBM12	Q9NTZ6
RBM12B	Q8IXT5
RBM14	Q96PK6
RBM15	Q96T37
RBM15B	Q8NDT2
RBM17	Q96I25
RBM19	Q9Y4C8
RBM20	Q5T481
RBM25	P49756
RBM26	Q5T8P6
RBM28	Q9NW13
RBM3	P98179
RBM33	Q96EV2
RBM38	Q9H0Z9
RBM4	Q9BWF3
RBM42	Q9BTD8
RBM47	A0AV96
RBM4B	Q9BQ04
RBM5	P52756
RBM6	P78332
RBMS1	P29558
RBMS2	Q15434
RBMX	P38159
RBMXL1	Q96E39
RC3H1	Q5TC82
RC3H2	Q9HBD1
RCC1	P18754
RCC2	Q9P258
RECQL	P46063
RFC3	P40938
RFC4	P35249
RGPD3	A6NKT7
RNASEL	Q05823
RNASET2	O00584
RNF214	Q8ND24
RNF219	Q5W0B1
RNF25	Q96BH1
RNH1	P13489
RO60	P10155
RPF2	Q9H7B2
RPL11	P62913
RPL26	P61254
RPS11	P62280
RPS16	P62249
RPS19	P39019
RPS24	P62847
RPS27A	P62979
RPS3	P23396
RPS3A	P61247
RPS4X	P62701
RPS6	P62753
RPS6KA3	P51812
RPS6KB1	P23443
RPS6KB2	Q9UBS0
RPTOR	Q8N122
RSL1D1	O76021
RTCB	Q9Y3I0
RTRAF	Q9Y224
S100A7A	Q86SG5
S100A8	P05109
S100A9	P06702
SAFB2	Q14151
SAMD4A	Q9UPU9
SAMD4B	Q5PRF9
SBSN	Q6UWP8
SCAF8	Q9UPN6
SCAPER	Q9BY12
SEC16A	O15027
SEC23B	Q15437
SEC24B	O95487
SEC24C	P53992
SECISBP2	Q96T21
SECISBP2L	Q93073
SERBP1	Q8NC51
SERPINB12	Q96P63
SERPINB3	P29508
SF1	Q15637
SF3B1	O75533
SFN	P31947
SIPA1L1	O43166
SIPA1L2	Q9P2F8
SLBP	Q14493
SLC25A5	P05141
SLC25A6	P12236
SMAP2	Q8WU79
SMARCA1	P28370
SMARCA5	O60264
SMC1A	Q14683
SMC3	Q9UQE7
SMC4	Q9NTJ3
SMG1	Q96Q15
SMG5	Q9UPR3
SMG6	Q86US8
SMG7	Q92540
SMG8	Q8ND04
SMN1	Q16637
SMU1	Q2TAY7
SMYD5	Q6GMV2
SND1	Q7KZF4
SNRPF	P62306
SNTB2	Q13425
SOGA3	Q5TF21
SORBS1	Q9BX66
SOX3	P41225
SPAG5	Q96R06
SPATA2	Q9UM82
SPATS2	Q86XZ4
SPATS2L	Q9NUQ6
SPECC1L	Q69YQ0
SPTAN1	Q13813
SPTBN1	Q01082
SRI	P30626
SRP14	P37108
SRP68	Q9UHB9
SRP9	P49458
SRRT	Q9BXP5
SRSF1	Q07955
SRSF3	P84103
SRSF4	Q08170
SRSF5	Q13243
SRSF7	Q16629
SRSF9	Q13242
SSX2IP	Q9Y2D8
ST7	Q9NRC1
STAT1	P42224
STAU1	O95793
STAU2	Q9NUL3
STIP1	P31948
STRAP	Q9Y3F4
STRBP	Q96SI9
SUGP2	Q8IX01
SUGT1	Q9Y2Z0
SUN1	O94901
SYCP3	Q8IZU3
SYNCRIP	O60506
TAF15	Q92804
